CommunityID,Density,ClusteringCoeff,Conductance,FlakeODF,FOMD,TPR,CutRatio,Cohesiveness,Separability
90,0.44761905,0.51724138,0.1754386,0.0,0.53333333,1.0,7.984e-05,0.21428571,2.35
91,0.8,0.78947368,0.44827586,0.2,0.0,1.0,0.00015559,0.5,0.61538462
92,0.52747253,0.62195122,0.46368715,0.28571429,0.57142857,1.0,0.00035496,0.30769231,0.57831325
93,0.46666667,0.65384615,0.39130435,0.1,0.1,1.0,0.00016162,0.33333333,0.77777778
94,0.53333333,0.52941176,0.0,0.0,0.0,1.0,0.0,0.4,8.0
95,0.53333333,0.55045872,0.0,0.0,0.3,1.0,0.0,0.33333333,24.0
96,0.7,0.64285714,0.5625,0.2,0.0,1.0,0.00021543,0.5,0.38888889
97,0.65454545,0.69827586,0.07692308,0.0,0.54545455,1.0,3.265e-05,0.4,6.0
98,0.56410256,0.65472313,0.16981132,0.0,0.53846154,1.0,8.29e-05,0.25,2.44444444
99,0.48888889,0.46987952,0.73964497,1.0,0.2,1.0,0.00074823,0.33333333,0.176
100,0.54545455,0.60775862,0.47058824,0.33333333,0.41666667,1.0,0.00031928,0.18181818,0.5625
101,0.40522876,0.51884701,0.36734694,0.11111111,0.66666667,0.94444444,0.00023955,0.05882353,0.86111111
102,0.54545455,0.61643836,0.32075472,0.08333333,0.41666667,1.0,0.00016962,0.27272727,1.05882353
103,0.48351648,0.54347826,0.21428571,0.07142857,0.5,0.92857143,0.00010264,0.15384615,1.83333333
104,0.71428571,0.73584906,0.46428571,0.14285714,0.14285714,1.0,0.00022229,0.5,0.57692308
105,0.49090909,0.57142857,0.5,0.36363636,0.27272727,0.81818182,0.00029387,0.2,0.5
106,0.55555556,0.61904762,0.34210526,0.2,0.4,1.0,0.00015563,0.22222222,0.96153846
107,0.73333333,0.75,0.54166667,0.66666667,0.0,1.0,0.00025933,0.4,0.42307692
108,0.56363636,0.63687151,0.17333333,0.0,0.36363636,1.0,7.075e-05,0.2,2.38461538
109,0.56363636,0.63793103,0.18421053,0.0,0.36363636,1.0,7.619e-05,0.2,2.21428571
110,0.31818182,0.52941176,0.26315789,0.08333333,0.16666667,0.91666667,7.483e-05,0.09090909,1.4
111,0.61904762,0.69767442,0.62318841,0.71428571,0.14285714,0.85714286,0.00036764,0.16666667,0.30232558
112,0.86666667,0.86666667,0.49019608,0.33333333,0.0,1.0,0.00024935,0.6,0.52
113,0.56060606,0.59433962,0.30841121,0.25,0.58333333,1.0,0.00016463,0.36363636,1.12121212
114,0.7,0.64285714,0.73584906,1.0,0.0,1.0,0.00046676,0.5,0.17948718
115,1.0,1.0,0.5,0.25,0.0,1.0,0.00017951,1.0,0.5
116,0.57142857,0.6300578,0.04,0.0,0.46666667,1.0,1.996e-05,0.35714286,12.0
117,1.0,1.0,0.73333333,1.0,0.0,1.0,0.00049366,1.0,0.18181818
118,0.93333333,0.92307692,0.64102564,0.66666667,0.0,1.0,0.0004987,0.8,0.28
119,0.57777778,0.62222222,0.27777778,0.1,0.3,1.0,0.00011972,0.33333333,1.3
120,0.57777778,0.59055118,0.5047619,0.5,0.3,1.0,0.00031725,0.33333333,0.49056604
121,0.28571429,0.0,0.76,1.0,0.0,0.0,0.00032489,0.16666667,0.15789474
122,0.57777778,0.648,0.64137931,0.6,0.3,1.0,0.00055669,0.33333333,0.27956989
123,1.0,0.0,0.77777778,1.0,0.0,0.0,0.00020941,1.0,0.14285714
124,0.86666667,0.81818182,0.64383562,0.83333333,0.0,1.0,0.00046878,0.8,0.27659574
125,0.40441176,0.56733524,0.14728682,0.0,0.64705882,0.94117647,6.693e-05,0.1875,2.89473684
